salary,companyNature,minSalary,workYear,companySize,companyUrl,companyName,jobName,location,edu,maxSalary,jobUrl,deatil
7000-14000,民营,7000,3-5年,20-99人,http://company.zhaopin.com/CC348343686.htm,惠州蓝媒物联有限公司,高级,惠州,大专,14000,http://jobs.zhaopin.com/348343686250000.htm,   岗位职责   1.  根据项目需求参与项目设计及项目核心代码的开发；   2.  书写开发过程所需的技术文档 ;  3.  带领和帮助其他开发人员顺利完成开发任务；   4.  负责项目后续的技术支持 ;      任职要求   1.  计算机相关专业，具有 2 年以上  
7000-12000,民营,7000,1-3年,20-99人,http://company.zhaopin.com/CZ637369980.htm,厦门唐普信息技术有限公司,开发工程师,惠州,本科,12000,http://jobs.zhaopin.com/CZ637369980J00076535507.htm,  职位要求：  （1）计算机及相关专业  统招全日制本    科及以上  学历，  2-4年  
4001-6000,民营,4001,,1000-9999人,http://company.zhaopin.com/CZ394810020.htm,大隆饰品玩具(惠州)有限公司,ASP,惠州,大专,6000,http://jobs.zhaopin.com/39481002490250045000.htm,  岗位职责：  品行优良，具备一定的沟通协调能力和技术功底     任职要求：  有1年以上web开发经验，熟悉HTML、JavaScript、Css优先  有1年以上asp
10001-15000,民营,10001,3-5年,100-499人,http://special.zhaopin.com/pagepublish/33491/index.html,深圳太极云软技术股份有限公司, 研发工程师,惠州-仲恺区,本科,15000,http://jobs.zhaopin.com/000334915250715.htm,...
8001-10000,股份制企业,8001,1-3年,20-99人,http://company.zhaopin.com/CC255752039.htm,惠州市创赢科技有限公司,软件工程师,惠州,大专,10000,http://jobs.zhaopin.com/CC255752039J00042933304.htm, 1.使用ASP
5000-10000,民营,5000,1-3年,20-99人,http://company.zhaopin.com/CZ722729540.htm,惠州市易隆联创信息科技有限公司,软件工程师,惠州,大专,10000,http://jobs.zhaopin.com/CZ722729540J00017063903.htm,   1、专科或以上学历，计算机相关专业，2年以上工作经验；    2、精通C#开发语言，熟悉
6000-9000,民营,6000,,500-999人,http://special.zhaopin.com/pagepublish/13605973/index.html,广东道一信息技术股份有限公司,C#,惠州,不限,9000,http://jobs.zhaopin.com/CC136059737J00062836006.htm,...
7500-13000,股份制企业,7500,,500-999人,http://company.zhaopin.com/CC689935929.htm,北京百知教育科技有限公司,UI设计师+人工智能助理,惠州,大专,13000,http://jobs.zhaopin.com/689935929251314.htm,  【岗位方向】：  1、用户界面（UI）设计师实习生  2、Python +人工智能开发工程师实习生  【任职要求】：  A：开发类1、大专及以上学历，计算机（网络)、电子信息、软件工程、（电气）自动化、测控、生仪、机电、数学或英语等专业。  2、有计算机语言基础者优先，如：C语言、Java、
7500-14000,股份制企业,7500,,500-999人,http://company.zhaopin.com/CC689935929.htm,北京百知教育科技有限公司,初级java软件工程师,惠州,大专,14000,http://jobs.zhaopin.com/689935929251246.htm,...
10000-20000,合资,10000,3-5年,20人以下,http://company.zhaopin.com/CZ494864620.htm,南京金通智能系统有限公司,C#软件工程师,惠州,本科,20000,http://jobs.zhaopin.com/CC494864620J00058344207.htm,...
8000-16000,股份制企业,8000,,10000人以上,http://company.zhaopin.com/P7/CC0000/5046/D902/500/CC000050468D90250000000.htm,TCL多媒体,IT制造系统部-MES应用架构师-惠州,惠州,本科,16000,http://jobs.zhaopin.com/CC000050468J00120176407.htm,...
16000-20000,上市公司,16000,5-10年,10000人以上,http://special.zhaopin.com/2018/gz/gday011190,广东奥园商业地产集团有限公司,地产开发项目财务经理,惠州,本科,20000,http://jobs.zhaopin.com/198502226252156.htm,...
